date,Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),Reform (poll)
2026-03-13,16.06,11.25,20.75,10.71,3.88,15.74,,,,,,,12.43,4.97,18.35,17.5,12.9,21.77,,,,,,
2026-03-14,16.09,11.3,20.83,10.65,3.92,15.69,,,,,,,12.36,4.97,18.27,17.5,12.9,21.77,,,,,,
2026-03-15,16.12,11.35,20.92,10.6,3.96,15.65,,,,,,,12.29,4.97,18.2,17.5,12.9,21.77,,,,,,
2026-03-16,16.16,11.33,23.01,10.56,3.86,15.85,6.0,-1.08,9.88,,,,12.22,4.8,18.14,17.5,12.9,21.77,,,,,,
2026-03-17,16.19,11.38,23.04,10.51,3.92,15.81,6.0,-0.32,11.73,,,,12.16,4.81,18.15,17.5,12.9,21.77,,,,,,
2026-03-18,16.23,11.45,23.08,10.47,3.99,15.77,6.0,-0.32,11.73,,,,12.09,4.81,18.09,17.5,12.9,21.77,,,,,,
2026-03-19,16.27,11.54,23.1,10.43,4.06,15.72,6.0,-0.31,11.73,,,,12.03,4.81,18.02,17.5,12.9,21.77,,,,,,
2026-03-20,16.31,11.62,23.13,10.4,4.13,15.67,6.0,-0.29,11.73,,,,11.98,4.82,17.95,17.5,12.9,21.77,,,,,,
2026-03-21,16.36,11.72,23.1,10.36,4.21,15.66,6.01,-0.25,11.72,,,,11.93,4.82,17.89,17.5,12.9,21.77,,,,,,
2026-03-22,16.4,11.78,22.96,10.34,4.3,15.65,6.01,-0.22,11.72,,,,11.88,4.82,17.84,17.5,12.9,21.77,,,,,,
2026-03-23,16.45,11.84,22.89,10.31,4.39,15.66,6.01,-0.16,11.72,,,,11.83,4.83,17.79,17.5,12.9,21.77,,,,,,
2026-03-24,16.49,11.99,22.78,10.29,4.49,15.65,6.02,-0.09,11.72,,,,11.79,4.83,17.75,17.5,12.9,21.77,,,,,,
2026-03-25,16.54,12.15,22.66,10.27,4.6,15.66,6.03,-0.01,11.71,,,,11.75,4.85,17.71,17.5,12.9,21.77,,,,,,
2026-03-26,16.59,12.24,22.43,10.26,4.49,15.99,6.04,0.23,12.1,,,,11.72,4.94,19.0,17.5,12.9,21.77,,,,,,
2026-03-27,16.64,12.27,22.99,10.25,4.62,16.17,6.05,0.33,12.04,,,,11.69,4.97,19.0,17.5,12.9,21.77,,,,,,
2026-03-28,16.69,12.28,23.02,10.24,4.74,16.18,6.06,0.41,12.02,,,,11.66,5.03,18.99,17.5,12.9,21.77,,,,,,
2026-03-29,16.75,12.3,23.04,10.25,4.85,16.0,6.08,0.45,11.99,,,,11.64,5.09,18.99,17.5,12.9,21.77,,,,,,
2026-03-30,16.8,12.34,23.07,10.26,4.9,15.85,6.09,0.47,11.96,,,,11.62,5.12,18.99,17.5,12.9,21.77,,,,,,
2026-03-31,16.86,12.38,23.04,10.27,4.97,15.82,6.11,0.49,11.75,,,,11.6,5.16,18.99,17.5,12.9,21.77,,,,,,
2026-04-01,16.92,12.43,22.97,10.3,5.08,15.83,6.13,0.51,11.6,,,,11.59,5.23,19.01,17.5,12.9,21.77,,,,,,
2026-04-02,16.99,12.49,22.96,10.34,5.09,16.45,6.15,0.54,11.59,,,,11.59,5.37,19.02,17.5,12.9,21.77,,,,,,
2026-04-03,17.06,12.63,22.99,10.38,5.11,16.6,6.17,0.56,11.59,,,,11.59,5.53,19.04,17.5,12.9,21.77,,,,,,
2026-04-04,17.13,12.73,23.08,10.44,5.27,16.59,6.19,0.6,11.64,,,,11.6,5.61,19.06,17.5,12.9,21.77,,,,,,
2026-04-05,17.2,12.96,23.19,10.5,5.64,16.59,6.21,0.62,11.68,,,,11.61,5.69,19.09,17.5,12.9,21.77,,,,,,
2026-04-06,17.28,13.17,23.29,10.57,6.0,16.59,6.24,0.63,11.49,,,,11.62,5.79,19.1,17.5,12.9,21.77,,,,,,
2026-04-07,17.36,13.27,23.35,10.66,6.16,16.6,6.26,0.69,11.33,,,,11.64,5.91,19.12,17.5,12.9,21.77,,,,,,
2026-04-08,17.44,13.37,23.41,10.75,6.34,16.64,6.28,0.76,11.25,,,,11.66,6.08,19.15,17.5,12.9,21.77,,,,,,
2026-04-09,17.53,13.47,23.46,10.84,6.51,16.82,6.31,0.88,11.17,,,,11.69,6.34,19.16,17.5,12.9,21.77,,,,,,
2026-04-10,17.61,13.57,23.5,10.95,6.67,16.99,6.33,1.0,11.13,,,,11.72,6.44,19.19,17.5,12.9,21.77,,,,,,
2026-04-11,17.7,13.66,23.55,11.06,6.82,17.04,6.36,1.06,11.1,,,,11.75,6.53,19.2,17.5,12.9,21.77,,,,,,
2026-04-12,17.79,13.79,23.59,11.18,6.94,17.08,6.38,1.11,11.08,,,,11.79,6.65,19.23,17.5,12.9,21.77,,,,,,
2026-04-13,17.88,13.94,23.63,11.3,7.05,17.12,6.41,1.19,11.05,,,,11.83,6.74,19.24,17.5,12.9,21.77,,,,,,
2026-04-14,17.97,14.13,23.64,11.42,7.18,17.22,6.44,1.25,11.02,,,,11.87,6.82,19.27,17.5,12.9,21.77,,,,,,
2026-04-15,18.06,14.25,23.68,11.55,7.31,17.35,6.46,1.3,10.98,,,,11.92,6.9,19.29,17.5,12.9,21.77,,,,,,
2026-04-16,18.14,14.33,23.69,11.69,7.42,17.48,6.48,1.36,10.94,,,,11.97,6.97,19.3,17.5,12.9,21.77,,,,,,
2026-04-17,18.23,14.42,23.65,11.82,7.55,17.61,6.51,1.43,10.91,,,,12.02,7.05,19.31,17.5,12.9,21.77,,,,,,
2026-04-18,18.32,14.52,23.65,11.96,7.75,17.75,6.53,1.46,10.87,,,,12.07,7.09,19.31,17.5,12.9,21.77,,,,,,
2026-04-19,18.41,14.66,23.65,12.1,7.87,17.87,6.55,1.46,10.84,,,,12.13,7.09,19.32,17.5,12.9,21.77,,,,,,
2026-04-20,18.5,14.69,23.65,12.25,7.99,17.99,6.58,1.47,10.81,,,,12.19,7.1,19.33,17.5,12.9,21.77,,,,,,
2026-04-21,18.59,14.77,23.67,12.39,8.09,18.12,6.6,1.48,10.77,,,,12.24,7.1,19.33,17.5,12.9,21.77,,,,,,
2026-04-22,18.67,14.88,23.79,12.53,8.19,18.23,6.62,1.49,10.75,,,,12.3,7.11,19.35,17.5,12.9,21.77,,,,,,
2026-04-23,18.76,14.99,23.9,12.67,8.3,18.34,6.64,1.49,10.72,,,,12.37,7.2,19.35,17.5,12.9,21.77,,,,,,
2026-04-24,18.84,15.09,23.93,12.81,8.43,18.46,6.66,1.59,10.7,,,,12.43,7.34,19.36,17.5,12.9,21.77,,,,,,
2026-04-25,18.92,15.18,24.03,12.96,8.55,18.56,6.68,1.75,10.67,,,,12.49,7.49,19.42,17.5,12.9,21.77,,,,,,
2026-04-26,19.0,15.23,24.12,13.1,8.61,18.66,6.7,1.96,10.64,,,,12.55,7.65,19.44,17.5,12.9,21.77,,,,,,
2026-04-27,19.08,15.26,24.14,13.23,8.71,18.76,6.71,2.13,10.62,,,,12.62,7.77,19.44,17.5,12.9,21.77,,,,,,
2026-04-28,19.15,15.26,24.15,13.37,8.82,18.93,6.73,2.19,10.6,,,,12.68,7.84,19.46,17.5,12.9,21.77,,,,,,
2026-04-29,19.23,15.33,24.15,13.51,8.92,19.09,6.75,2.26,10.57,,,,12.75,7.86,19.49,17.5,12.9,21.77,,,,,,
2026-04-30,19.3,15.39,24.13,13.64,9.03,19.33,6.76,2.29,10.55,,,,12.81,7.88,19.56,17.5,12.9,21.77,,,,,,
2026-05-01,19.37,15.47,24.17,13.77,9.15,19.55,6.78,2.29,10.52,6.94,2.08,11.29,12.88,7.97,19.62,17.5,12.9,21.77,15.0,15.0,6.0,6.0,18.0,
2026-05-02,19.44,15.55,24.2,13.9,9.26,19.77,6.79,2.29,10.5,6.96,2.1,11.27,12.94,8.02,19.68,17.5,12.9,21.77,,,,,,
2026-05-03,19.51,15.62,24.25,14.03,9.4,20.0,6.8,2.3,10.47,6.98,2.12,11.2,13.01,8.02,19.72,17.5,12.9,21.77,,,,,,
2026-05-04,19.57,15.72,24.28,14.16,9.52,20.24,6.82,2.3,10.45,7.0,2.14,11.12,13.07,8.01,19.77,17.5,12.9,21.77,,,,,,
2026-05-05,19.64,15.8,24.33,14.28,9.61,20.45,6.83,2.3,10.43,7.02,2.17,11.12,13.13,8.01,19.81,17.5,12.9,21.77,,,,,,
2026-05-06,19.7,15.88,24.38,14.4,9.7,20.58,6.84,2.3,10.41,7.03,2.19,11.12,13.2,8.01,19.84,17.5,12.9,21.77,,,,,,
2026-05-07,19.76,15.95,24.42,14.52,9.79,20.68,6.85,2.3,10.4,7.05,2.22,11.13,13.26,8.01,19.89,17.5,12.9,21.77,,,,,,
2026-05-08,19.82,16.03,24.46,14.63,9.89,20.84,6.86,2.31,10.38,7.07,2.24,11.13,13.32,8.02,19.92,17.5,12.9,21.77,,,,,,
2026-05-09,19.87,16.09,24.49,14.74,9.99,20.91,6.87,2.31,10.36,7.08,2.27,11.11,13.38,8.02,19.95,17.5,12.9,21.77,,,,,,
2026-05-10,19.93,16.13,24.57,14.85,10.06,20.97,6.88,2.31,10.35,7.09,2.3,11.06,13.44,8.04,19.98,17.5,12.9,21.77,,,,,,
2026-05-11,19.98,16.17,24.64,14.96,10.14,21.05,6.89,2.31,10.33,7.11,2.33,11.04,13.5,8.04,20.02,17.5,12.9,21.77,,,,,,
2026-05-12,20.03,16.21,24.63,15.06,10.23,21.13,6.9,2.31,10.31,7.12,2.35,11.04,13.56,8.05,20.04,17.5,12.9,21.77,,,,,,
2026-05-13,20.08,16.26,24.63,15.16,10.38,21.19,6.91,2.32,10.3,7.13,2.37,11.04,13.61,8.05,20.07,17.5,12.9,21.77,,,,,,
2026-05-14,20.13,16.3,24.66,15.26,10.47,21.24,6.91,2.31,11.14,7.15,2.4,11.04,13.67,8.06,20.22,17.5,12.31,22.91,,,,,,
2026-05-15,20.18,16.34,24.69,15.36,10.56,21.29,6.92,1.95,11.11,7.16,2.46,11.03,13.72,8.06,20.23,17.5,12.31,23.97,,,,,,
2026-05-16,20.23,16.38,24.72,15.45,10.65,21.34,6.93,1.99,11.1,7.17,2.53,11.03,13.78,8.06,20.24,17.5,12.31,23.97,,,,,,
2026-05-17,20.27,16.42,24.75,15.54,10.74,21.41,6.94,2.04,11.09,7.18,2.59,11.03,13.83,8.06,20.25,17.5,12.32,23.97,,,,,,
2026-05-18,20.31,16.46,24.78,15.63,10.82,21.49,6.94,2.07,11.08,7.19,2.61,11.02,13.88,8.06,20.26,17.5,12.32,23.97,,,,,,
2026-05-19,20.35,16.5,24.8,15.72,10.91,21.58,6.95,2.12,11.06,7.2,2.61,11.02,13.92,8.06,20.27,17.5,12.32,23.97,,,,,,
2026-05-20,20.39,16.54,24.83,15.8,10.99,21.67,6.95,2.16,11.05,7.21,2.62,11.01,13.97,8.09,20.27,17.51,12.33,23.96,,,,,,
2026-05-21,20.43,16.57,24.87,15.89,11.04,21.72,6.96,2.2,11.03,7.22,2.61,11.0,14.01,8.13,20.27,17.51,12.33,23.95,,,,,,
2026-05-22,20.47,16.61,24.92,15.97,11.1,21.8,6.96,2.22,11.01,7.23,2.61,10.99,14.05,8.15,20.26,17.51,12.34,23.95,,,,,,
2026-05-23,20.5,16.65,24.97,16.05,11.14,21.87,6.97,2.24,10.98,7.24,2.63,10.98,14.09,8.15,20.24,17.52,12.35,23.94,,,,,,
2026-05-24,20.54,16.69,25.0,16.12,11.18,21.92,6.97,2.27,10.95,7.25,2.65,10.97,14.13,8.15,20.24,17.53,12.37,23.93,,,,,,
2026-05-25,20.57,16.73,25.05,16.2,11.23,21.97,6.97,2.29,10.92,7.25,2.68,10.96,14.16,8.15,20.22,17.54,12.39,23.92,,,,,,
2026-05-26,20.6,16.76,25.09,16.28,11.32,22.01,6.98,2.31,10.89,7.26,2.71,10.96,14.19,8.18,20.2,17.54,12.43,23.91,,,,,,
2026-05-27,20.63,16.8,25.13,16.35,11.4,22.07,6.98,2.32,10.86,7.27,2.69,10.98,14.22,8.2,20.19,17.55,12.46,23.9,,,,,,
2026-05-28,20.66,16.84,25.16,16.42,11.47,22.11,6.98,2.34,10.84,7.28,2.69,11.0,14.24,8.23,20.17,17.57,12.55,23.88,17.0,6.5,,,7.0,17.5
2026-05-29,20.68,16.88,25.2,16.49,11.54,22.17,6.98,2.36,10.82,7.28,2.7,11.0,14.26,8.24,20.16,17.58,12.61,23.86,,,,,,
2026-05-30,20.71,16.92,25.23,16.56,11.59,22.25,6.98,2.39,10.8,7.29,2.71,11.0,14.28,8.27,20.14,17.59,12.65,23.84,,,,,,
2026-05-31,20.73,16.96,25.23,16.63,11.64,22.33,6.99,2.41,10.78,7.3,2.73,11.0,14.3,8.29,20.13,17.61,12.69,23.82,,,,,,
2026-06-01,20.76,16.99,25.21,16.69,11.69,22.41,6.99,2.41,10.77,7.31,2.75,11.0,14.32,8.31,20.1,17.63,12.74,23.8,,,,,,
2026-06-02,20.78,17.01,25.24,16.76,11.73,22.5,6.99,2.41,10.76,7.31,2.77,10.98,14.33,8.34,20.08,17.64,12.79,23.78,,,,,,
2026-06-03,20.8,17.03,25.28,16.82,11.77,22.55,6.99,2.4,10.76,7.32,2.79,10.96,14.34,8.33,20.05,17.66,12.83,23.76,,,,,,
2026-06-04,20.82,17.03,25.31,16.89,11.82,22.6,6.99,2.4,10.76,7.32,2.8,10.96,14.34,8.32,20.06,17.68,12.89,23.74,,,,,,
2026-06-05,20.84,17.04,25.31,16.95,11.86,22.64,6.99,2.4,10.75,7.33,2.82,10.97,14.35,8.31,20.09,17.7,12.94,23.71,,,,,,
2026-06-06,20.86,17.07,25.31,17.01,11.9,22.68,6.99,2.39,10.75,7.34,2.84,10.97,14.35,8.3,20.05,17.72,13.0,23.68,,,,,,
2026-06-07,20.87,17.09,25.28,17.07,11.94,22.72,6.99,2.39,10.75,7.34,2.86,10.97,14.35,8.29,19.93,17.75,13.07,23.65,,,,,,
2026-06-08,20.89,17.1,25.24,17.13,12.03,22.75,6.99,2.39,10.74,7.35,2.87,10.97,14.35,8.28,19.88,17.77,13.14,23.63,,,,,,
2026-06-09,20.91,17.11,25.21,17.19,12.11,22.8,6.99,2.44,10.74,7.36,2.88,10.97,14.35,8.29,19.8,17.8,13.28,23.6,,,,,,
2026-06-10,20.92,17.12,25.2,17.24,12.19,22.83,6.99,2.5,10.74,7.36,2.9,10.97,14.34,8.32,19.7,17.82,13.41,23.57,,,,,,
2026-06-11,20.94,17.14,25.21,17.3,12.27,22.87,6.99,2.54,10.73,7.37,2.92,10.97,14.34,8.28,19.7,17.85,13.46,23.53,,,,,,
2026-06-12,20.95,17.15,25.22,17.36,12.28,22.9,6.98,2.6,10.73,7.37,2.94,10.97,14.33,8.23,19.7,17.87,13.46,23.44,,,,,,
2026-06-13,20.97,17.16,25.23,17.41,12.36,22.93,6.98,2.63,10.73,7.38,2.95,10.97,14.32,8.21,19.7,17.9,13.46,23.34,,,,,,
2026-06-14,20.98,17.18,25.25,17.47,12.4,22.95,6.98,2.64,10.73,7.39,2.97,10.97,14.31,8.2,19.66,17.93,13.51,23.24,,,,,,
2026-06-15,20.99,17.19,25.26,17.52,12.47,22.98,6.98,2.65,10.72,7.39,2.99,10.98,14.3,8.19,19.62,17.95,13.56,23.14,,,,,,
2026-06-16,21.0,17.2,25.27,17.58,12.52,23.01,6.98,2.66,10.72,7.4,3.01,10.98,14.28,8.17,19.57,17.98,13.59,23.05,,,,,,
2026-06-17,21.02,17.22,25.29,17.63,12.56,23.03,6.98,2.67,10.72,7.41,3.03,10.98,14.27,8.14,19.53,18.01,13.62,22.98,,,,,,
2026-06-18,21.03,17.22,25.28,17.68,12.59,23.06,6.98,2.71,10.74,7.41,3.04,10.98,14.25,8.13,19.5,18.04,13.69,22.95,,,,,,
2026-06-19,21.04,17.22,25.28,17.74,12.66,23.08,6.98,2.75,10.77,7.42,3.06,10.97,14.24,8.11,19.45,18.07,13.76,22.98,,,,,,
2026-06-20,21.05,17.22,25.3,17.79,12.77,23.1,6.97,2.79,10.8,7.43,3.07,10.98,14.22,8.02,19.44,18.1,13.83,23.04,,,,,,
2026-06-21,21.06,17.23,25.34,17.84,12.78,23.11,6.97,2.82,10.84,7.43,3.09,10.98,14.2,7.95,19.45,18.13,13.87,23.1,,,,,,
2026-06-22,21.07,17.23,25.36,17.89,12.84,23.13,6.97,2.83,10.87,7.44,3.12,10.98,14.18,7.87,19.42,18.16,13.91,23.17,,,,,,
2026-06-23,21.09,17.24,25.34,17.94,12.88,23.16,6.97,2.85,10.91,7.45,3.14,10.98,14.16,7.83,19.3,18.19,13.96,23.22,,,,,,
2026-06-24,21.1,17.25,25.31,18.0,12.91,23.22,6.97,2.81,10.95,7.45,3.16,10.98,14.15,7.8,19.32,18.21,13.98,23.28,,,,,,
2026-06-25,21.11,17.25,25.36,18.05,12.94,23.23,6.97,2.77,10.98,7.46,3.18,10.98,14.13,7.79,19.33,18.24,13.98,23.34,,,,,,
2026-06-26,21.12,17.26,25.4,18.1,12.96,23.24,6.97,2.74,11.02,7.47,3.2,10.98,14.11,7.77,19.32,18.27,13.98,23.38,,,,,,
2026-06-27,21.13,17.27,25.43,18.15,12.98,23.28,6.96,2.7,11.05,7.48,3.2,10.98,14.09,7.75,19.29,18.3,13.98,23.39,,,,,,
2026-06-28,21.14,17.29,25.42,18.2,13.01,23.33,6.96,2.66,11.03,7.48,3.19,10.98,14.07,7.73,19.26,18.33,13.98,23.4,,,,,,
2026-06-29,21.15,17.3,25.42,18.25,13.03,23.38,6.96,2.63,11.01,7.49,3.19,10.99,14.05,7.72,19.21,18.36,13.98,23.4,,,,,,
2026-06-30,21.17,17.31,25.41,18.31,13.05,23.43,6.96,2.59,10.99,7.5,3.19,10.99,14.02,7.7,19.13,18.39,13.98,23.41,,,,,,
2026-07-01,21.18,17.32,25.41,18.36,13.08,23.49,6.96,2.56,10.97,7.51,3.19,10.99,14.0,7.69,19.12,18.42,13.98,23.41,,,,,,
2026-07-02,21.19,17.33,25.41,18.41,13.1,23.54,6.96,2.56,10.95,7.52,3.18,10.99,13.98,7.67,19.14,18.45,13.98,23.44,,,,,,
2026-07-03,21.2,17.34,25.41,18.46,13.13,23.57,6.96,2.54,10.92,7.53,3.18,10.99,13.97,7.66,19.13,18.48,13.98,23.53,28.0,13.0,,,,
2026-07-04,21.22,17.35,25.4,18.52,13.17,23.59,6.96,2.53,10.9,7.53,3.18,10.99,13.95,7.65,19.14,18.51,13.98,23.61,,,,,,
2026-07-05,21.23,17.36,25.4,18.57,13.21,23.62,6.96,2.53,10.89,7.54,3.18,10.99,13.93,7.63,19.15,18.54,13.98,23.7,,,,,,
2026-07-06,21.25,17.38,25.39,18.62,13.25,23.67,6.96,2.49,10.86,7.55,3.18,10.99,13.91,7.62,19.15,18.57,13.98,23.75,,,,,,
2026-07-07,21.26,17.39,25.39,18.68,13.3,23.71,6.96,2.46,10.85,7.56,3.18,10.99,13.89,7.6,19.16,18.6,13.98,23.79,,,,,,
2026-07-08,21.27,17.4,25.44,18.73,13.34,23.75,6.96,2.42,10.83,7.57,3.18,11.01,13.87,7.58,19.17,18.63,13.98,23.83,,,,,,
2026-07-09,21.29,17.42,25.49,18.79,13.39,23.8,6.96,2.39,10.81,7.58,3.18,11.09,13.86,7.57,19.18,18.66,13.98,23.88,,,,,,
2026-07-10,21.3,17.43,25.54,18.84,13.43,23.84,6.96,2.35,10.84,7.59,3.18,11.1,13.84,7.55,19.18,18.69,13.98,23.94,,,,,,
2026-07-11,21.32,17.45,25.59,18.9,13.47,23.89,6.96,2.31,10.85,7.6,3.18,11.12,13.83,7.54,19.19,18.72,13.98,24.01,,,,,,
2026-07-12,21.34,17.48,25.63,18.96,13.53,23.93,6.96,2.28,10.86,7.61,3.18,11.13,13.81,7.53,19.2,18.75,14.03,24.0,,,,,,
2026-07-13,21.35,17.49,25.69,19.01,13.58,23.97,6.96,2.25,10.85,7.62,3.17,11.13,13.8,7.51,19.2,18.78,14.07,23.99,,,,,,
2026-07-14,21.37,17.51,25.74,19.07,13.63,24.01,6.96,2.21,10.85,7.63,3.17,11.14,13.79,7.48,19.21,18.81,14.1,23.99,16.0,19.0,9.0,9.0,21.0,
2026-07-15,21.39,17.53,25.79,19.13,13.7,24.05,6.96,2.19,10.86,7.65,3.17,11.14,13.78,7.48,19.2,18.84,14.12,23.99,,,,,,
2026-07-16,21.41,17.55,25.82,19.2,13.76,24.09,6.96,2.17,10.93,7.66,3.17,11.15,13.77,7.46,19.2,18.87,14.15,24.02,,,,,,
2026-07-17,21.43,17.57,25.84,19.26,13.84,24.14,6.96,2.17,10.99,7.67,3.17,11.15,13.76,7.44,19.22,18.91,14.18,24.02,,,,,,
2026-07-18,21.44,17.59,25.87,19.32,13.95,24.2,6.96,2.17,11.02,7.68,3.17,11.18,13.76,7.42,19.22,18.94,14.2,23.99,,,,,,
2026-07-19,21.46,17.62,25.9,19.39,14.06,24.27,6.96,2.17,11.04,7.69,3.16,11.2,13.75,7.4,19.24,18.97,14.23,23.96,,,,,,
2026-07-20,21.48,17.62,25.93,19.45,14.18,24.34,6.96,2.16,11.07,7.7,3.12,11.23,13.75,7.39,19.24,19.0,14.28,23.97,,,,,,
2026-07-21,21.5,17.64,25.95,19.52,14.26,24.4,6.97,2.17,11.09,7.71,3.08,11.25,13.75,7.37,19.28,19.03,14.31,23.98,,,,,,
2026-07-22,21.53,17.66,25.98,19.59,14.28,24.46,6.97,2.17,11.12,7.73,3.04,11.27,13.75,7.34,19.35,19.06,14.34,23.98,,,,,,
2026-07-23,21.55,17.65,26.0,19.66,14.29,24.52,6.97,2.18,11.14,7.74,3.01,11.31,13.75,7.24,19.41,19.1,14.36,23.99,,,,,,
2026-07-24,21.57,17.68,26.03,19.73,14.34,24.57,6.97,2.2,11.14,7.75,2.97,11.33,13.75,7.25,19.47,19.13,14.38,24.01,25.3,26.7,6.0,7.0,22.0,
2026-07-25,21.59,17.73,26.06,19.8,14.43,24.58,6.97,2.23,11.14,,,,13.75,7.25,19.47,19.17,14.41,24.05,,,,,,
2026-07-26,21.61,17.77,26.08,19.87,14.52,24.6,6.97,2.26,11.13,,,,13.76,7.26,19.49,19.2,14.44,24.09,,,,,,
2026-07-27,21.64,17.81,26.11,19.95,14.61,24.61,6.97,2.28,11.13,,,,13.77,7.17,19.49,19.23,14.46,24.12,,,,,,
2026-07-28,21.66,17.84,26.16,20.02,14.71,24.62,6.97,2.28,11.13,,,,13.78,7.06,19.5,19.27,14.49,24.17,,,,,,
2026-07-29,21.68,17.85,26.24,20.1,14.81,24.66,6.97,2.26,11.16,,,,13.79,7.0,19.5,19.31,14.51,24.2,,,,,,
2026-07-30,21.71,17.85,26.31,20.18,14.85,24.75,6.98,2.24,11.19,,,,13.8,6.97,19.51,19.34,14.54,24.25,,,,,,
2026-07-31,21.73,17.84,26.4,20.26,14.92,24.85,6.98,2.25,11.21,,,,13.82,6.93,19.56,19.38,14.57,24.3,,,,,,
2026-08-01,21.76,17.85,26.43,20.34,15.02,24.95,6.98,2.26,11.24,,,,13.83,6.93,19.63,19.42,14.59,24.35,,,,,,
2026-08-02,21.78,17.85,26.45,20.43,15.13,25.05,6.98,2.24,11.22,,,,13.85,6.88,19.71,19.46,14.62,24.36,,,,,,
2026-08-03,21.81,17.85,26.47,20.51,15.23,25.16,6.98,2.22,11.18,,,,13.87,6.78,19.79,19.5,14.64,24.37,,,,,,
2026-08-04,21.83,17.85,26.55,20.6,15.3,25.22,6.98,2.2,11.15,,,,13.89,6.67,19.86,19.54,14.66,24.38,,,,,,
2026-08-05,21.86,17.86,26.64,20.68,15.39,25.26,6.98,2.2,11.12,,,,13.91,6.58,19.94,19.58,14.66,24.39,,,,,,
2026-08-06,21.88,17.86,26.71,20.77,15.51,25.34,6.98,2.15,11.14,,,,13.94,6.47,19.97,19.62,14.66,24.39,,,,,,
2026-08-07,21.91,17.86,26.78,20.86,15.64,25.39,6.98,2.08,11.17,,,,13.96,6.38,19.95,19.67,14.66,24.38,,,,,,
2026-08-08,21.94,17.86,26.79,20.95,15.65,25.42,6.98,2.05,11.2,,,,13.99,6.28,19.93,19.71,14.66,24.37,,,,,,
2026-08-09,21.96,17.86,26.8,21.04,15.67,25.46,6.98,2.04,11.22,,,,14.02,6.2,19.93,19.76,14.66,24.37,,,,,,
2026-08-10,21.98,17.86,26.8,21.13,15.7,25.53,6.98,2.02,11.25,,,,14.05,6.11,19.91,19.81,14.66,24.38,,,,,,
2026-08-11,22.01,17.87,26.8,21.22,15.83,25.61,6.98,2.02,11.29,,,,14.08,6.04,19.89,19.86,14.66,24.42,,,,,,
2026-08-12,22.03,17.87,26.8,21.31,15.98,25.69,6.97,2.0,11.33,,,,14.11,5.96,19.94,19.91,14.66,24.48,,,,,,
2026-08-13,22.06,17.87,26.8,21.41,16.07,25.77,6.97,1.98,11.4,,,,14.14,5.9,20.03,19.96,14.66,24.55,,,,,,
2026-08-14,22.08,17.87,26.81,21.5,16.13,25.84,6.97,1.97,11.48,,,,14.18,5.87,20.12,20.01,14.66,24.61,,,,,,
2026-08-15,22.1,17.87,26.93,21.59,16.28,25.92,6.97,1.94,11.56,,,,14.21,5.79,20.21,20.06,14.66,24.65,,,,,,
2026-08-16,22.13,17.87,27.06,21.69,16.51,26.0,6.97,1.91,11.62,,,,14.25,5.73,20.29,20.12,14.66,24.7,,,,,,
2026-08-17,22.15,17.86,27.18,21.78,16.64,26.07,6.96,1.88,11.66,,,,14.28,5.69,20.39,20.17,14.66,24.74,,,,,,
2026-08-18,22.17,17.87,27.25,21.88,16.7,26.14,6.96,1.85,11.66,,,,14.32,5.65,20.49,20.23,14.66,24.79,,,,,,
2026-08-19,22.19,17.87,27.27,21.97,16.88,26.21,6.96,1.84,11.66,,,,14.36,5.63,20.59,20.29,14.66,24.83,,,,,,
2026-08-20,22.21,17.87,27.27,22.07,17.06,26.27,6.96,1.83,11.66,,,,14.4,5.61,20.68,20.35,14.66,24.87,,,,,,
2026-08-21,22.23,17.86,27.29,22.17,17.25,26.34,6.95,1.82,11.67,,,,14.43,5.59,20.68,20.41,14.66,24.92,,,,,,
2026-08-22,22.24,17.86,27.29,22.26,17.44,26.42,6.95,1.82,11.66,,,,14.47,5.6,20.7,20.48,14.66,24.97,,,,,,
2026-08-23,22.26,17.85,27.48,22.36,17.59,26.5,6.94,1.81,11.66,,,,14.51,5.61,20.75,20.54,14.66,25.02,,,,,,
2026-08-24,22.28,17.85,27.66,22.45,17.73,26.56,6.94,1.8,11.65,,,,14.54,5.63,20.85,20.61,14.66,25.07,,,,,,
2026-08-25,22.29,17.84,27.71,22.55,17.89,26.63,6.93,1.79,11.64,,,,14.58,5.66,20.94,20.67,14.66,25.13,,,,,,
2026-08-26,22.31,17.84,27.73,22.64,18.07,26.75,6.93,1.78,11.63,,,,14.61,5.61,21.04,20.74,14.66,25.18,,,,,,
2026-08-27,22.32,17.84,27.76,22.74,18.14,26.83,6.93,1.76,11.62,,,,14.64,5.55,21.14,20.81,14.66,25.33,,,,,,
2026-08-28,22.33,17.83,27.78,22.83,18.27,26.9,6.92,1.75,11.61,,,,14.67,5.5,21.24,20.88,14.66,25.45,,,,,,
